ticker,company_name,sector,year,scrape_status,missing_reason,snapshot_ts,snapshot_url,cdx_query_url,word_count,changed_from_prior,change_confidence,change_description,theme_categories,dominant_theme,register,analyst_notes,ngram_similarity,analysis_method,theme_mission_purpose,theme_customer_centricity,theme_innovation_technology,theme_stakeholder_capitalism,theme_shareholder_value,theme_esg_sustainability,theme_employee_culture,theme_ethics_integrity,theme_global_scale,theme_community_impact
AMZN,Amazon.com Inc.,Consumer Discretionary,2016,OK,,20160710151258,http://www.amazon.com:80/about-aerodynamic-noise-driving-speed/forum/FxMOMNDJNYN2BA/Tx350AMIAKMXBQP/1?,https://web.archive.org/cdx/search/cdx?url=amazon.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20160101&to=20161231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,641,,,No prior year available,CUSTOMER_CENTRICITY|GLOBAL_SCALE,CUSTOMER_CENTRICITY,CONVERSATIONAL,"This appears to be homepage/product page content rather than a dedicated About Us section, focusing heavily on Prime membership benefits and service convenience. The absence of traditional corporate mission/values messaging suggests either incomplete data capture or Amazon's customer-first approach extending to minimal corporate rhetoric on user-facing pages.",,llm,0,1,0,0,0,0,0,0,1,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2017,OK,,20170706173031,https://www.amazon.com/About-Face-Odyssey-American-Warrior/dp/0671695347,https://web.archive.org/cdx/search/cdx?url=amazon.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20170101&to=20171231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,484,,,No prior year available,CUSTOMER_CENTRICITY,CUSTOMER_CENTRICITY,CONVERSATIONAL,"The provided text appears to be Amazon product listing pages rather than corporate About Us content, focusing entirely on customer reviews and product details without any corporate mission or values statements present.",0.2375,llm,0,1,0,0,0,0,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2018,OK,,20180717083244,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20180101&to=20181231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,647,True,HIGH,"Complete transformation from product listing page to comprehensive corporate storytelling about operations, culture, and impact.",COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|INNOVATION_TECHNOLOGY,CUSTOMER_CENTRICITY,CONVERSATIONAL,Amazon presents itself as a mission-driven innovator through storytelling rather than traditional corporate statements. The emphasis on Leadership Principles and employee empowerment suggests strong internal culture messaging. Notable focus on sustainability initiatives and community impact indicates strategic positioning beyond pure commerce.,0.2631,llm,0,1,1,0,0,1,1,0,0,1
AMZN,Amazon.com Inc.,Consumer Discretionary,2019,OK,,20190714221541,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20190101&to=20191231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,710,True,HIGH,"2019 version significantly expanded sustainability messaging with Shipment Zero carbon neutrality goals and added formal upskilling commitments (100,000 employees by 2025).",COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|INNOVATION_TECHNOLOGY,INNOVATION_TECHNOLOGY,CONVERSATIONAL,"Amazon strategically elevated sustainability commitments in 2019 with specific carbon neutrality targets, positioning itself proactively amid growing ESG scrutiny. The formal upskilling pledge demonstrates stakeholder capitalism awareness while maintaining core innovation narrative. Notable absence of explicit shareholder value language suggests pivot toward broader stakeholder messaging.",0.4735,llm,0,1,1,0,0,1,1,0,0,1
AMZN,Amazon.com Inc.,Consumer Discretionary,2020,OK,,20200311020425,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20200101&to=20201231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,362,True,MEDIUM,Enhanced focus on diversity/inclusion initiatives and COVID-19 response while maintaining core principles and sustainability messaging.,COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|INNOVATION_TECHNOLOGY,CUSTOMER_CENTRICITY,CONVERSATIONAL,Amazon's messaging balances customer obsession as core identity with emerging ESG commitments and diversity initiatives. The addition of specific COVID-19 response and enhanced diversity content suggests reactive positioning to 2020 social pressures while maintaining foundational customer-centric narrative.,0.3363,llm,0,1,1,0,0,1,1,0,0,1
AMZN,Amazon.com Inc.,Consumer Discretionary,2021,OK,,20210228153515,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20210101&to=20211231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,21,True,HIGH,"The 2021 page completely removed substantive content about Amazon's principles, mission, and values, replaced with only a news feed listing dates.",,,,"The 2021 page represents a dramatic retreat from values communication, removing all content about Amazon's four core principles, employee culture, and sustainability commitments. This shift to a pure news feed format suggests either a major website restructuring or a strategic decision to deemphasize public values messaging during a period of increased regulatory and public scrutiny.",0.0076,llm,0,0,0,0,0,0,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2022,OK,,20220316035534,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20220101&to=20221231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,1437,True,HIGH,"Complete structural overhaul from news-focused format to comprehensive corporate overview with detailed sections on operations, workplace, impact, and sustainability.",COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|GLOBAL_SCALE,EMPLOYEE_CULTURE,CONVERSATIONAL,"Amazon strategically emphasizes employee benefits and workforce investment through prominent 'Did you know?' facts about tuition funding and wage increases. The page notably lacks explicit mission statement or leadership principles content, instead focusing on operational scale metrics and social impact narratives. Heavy emphasis on third-party marketplace success suggests positioning against regulatory scrutiny while building stakeholder goodwill.",0.0048,llm,0,1,0,0,0,1,1,0,1,1
AMZN,Amazon.com Inc.,Consumer Discretionary,2023,OK,,20230222045626,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20230101&to=20231231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,2036,True,MEDIUM,"Added Public Policy section and removed AmazonSmile program reference, while adding specific employee benefit callouts.",COMMUNITY_IMPACT|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|INNOVATION_TECHNOLOGY|STAKEHOLDER_CAPITALISM,STAKEHOLDER_CAPITALISM,FORMAL,Amazon's page emphasizes stakeholder capitalism through detailed economic impact metrics and employee benefits. The addition of Public Policy signals increased regulatory engagement focus. The removal of AmazonSmile while maintaining other community programs suggests strategic portfolio refinement rather than reduced social commitment.,0.577,llm,0,0,1,1,0,1,1,0,0,1
AMZN,Amazon.com Inc.,Consumer Discretionary,2024,OK,,20240219022114,https://www.aboutamazon.com/,https://web.archive.org/cdx/search/cdx?url=aboutamazon.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20240101&to=20241231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,52,True,HIGH,"Dramatic simplification from comprehensive navigation structure to three focused messaging blocks emphasizing AI innovation, Prime benefits, and workplace culture.",CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|INNOVATION_TECHNOLOGY,INNOVATION_TECHNOLOGY,CONVERSATIONAL,"Amazon has dramatically streamlined their About Us page from a comprehensive corporate information hub to three focused value propositions, with AI/innovation taking center stage. The elimination of detailed ESG content, community impact sections, and leadership principles suggests a strategic pivot toward consumer-facing benefits messaging rather than stakeholder transparency.",0.0238,llm,0,1,1,0,0,0,1,0,0,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2016,MISSING,all_hints_exhausted,,,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fwho-we-are%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20160101&to=20161231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,0,,,No text — snapshot missing or blocked.,,,,No text; analysis skipped.,,skipped,0,0,0,0,0,0,0,0,0,0
