ticker,company_name,sector,year,cik,accession_number,filing_date,filing_url,scrape_status,missing_reason,doc_size_bytes,total_word_count,esg_section_word_count,has_explicit_esg_section,climate_mention_count,diversity_mention_count,governance_mention_count,esg_keyword_density,net_zero_target_year,pct_women_board,has_quantitative_targets,esg_themes,climate_commitment,dei_disclosure_quality,changed_from_prior,change_confidence,change_summary,register,analyst_notes,ngram_similarity,analysis_method,theme_climate_risk,theme_climate_opportunity,theme_emissions_targets,theme_board_diversity,theme_workforce_dei,theme_human_capital,theme_esg_oversight,theme_stakeholder_engagement,theme_exec_comp_linkage,theme_supply_chain,theme_political_lobbying,theme_risk_disclosure
AMZN,Amazon.com Inc.,Consumer Discretionary,2016,1018724,0001193125-16-530747,2016-04-05,https://www.sec.gov/Archives/edgar/data/1018724/000119312516530747/d78603ddef14a.htm,OK,,345432,18690,1153,True,24,1,0,21.68,,,False,CLIMATE_OPPORTUNITY|CLIMATE_RISK|EMISSIONS_TARGETS|ESG_OVERSIGHT|HUMAN_CAPITAL|STAKEHOLDER_ENGAGEMENT|SUPPLY_CHAIN,achieve 100% renewable energy usage for the global AWS infrastructure footprint,LOW,,,No prior year available,COMPLIANCE,"Amazon is responding defensively to a shareholder proposal for sustainability reporting, arguing their current practices are sufficient. The company provides specific renewable energy commitments and quantifies packaging waste reduction (80 million pounds eliminated) but lacks comprehensive ESG framework or diversity metrics that peers were already providing by 2016.",,llm,1,1,1,0,0,1,1,1,0,1,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2017,1018724,0001193125-17-120195,2017-04-12,https://www.sec.gov/Archives/edgar/data/1018724/000119312517120195/d334778ddef14a.htm,OK,,418062,27436,474,True,0,1,0,2.11,,,False,ESG_OVERSIGHT,,LOW,True,HIGH,"Amazon removed the shareholder sustainability reporting proposal and supporting statement from the 2017 proxy, replacing it with minimal board governance disclosures and a brief reference to their sustainability website.",COMPLIANCE,"The 2017 proxy shows Amazon eliminated the substantial shareholder sustainability reporting proposal that dominated 2016, replacing it with only a brief sustainability website reference and standard board governance disclosures. This suggests Amazon may have implemented ESG reporting outside the proxy process to address investor demands.",0.272,llm,0,0,0,0,0,0,1,0,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2018,1018724,0001193125-18-121077,2018-04-18,https://www.sec.gov/Archives/edgar/data/1018724/000119312518121077/d514607ddef14a.htm,OK,,315064,20356,469,True,0,1,0,2.13,,,False,ESG_OVERSIGHT|POLITICAL_LOBBYING,,LOW,True,MEDIUM,"Board meeting frequency increased from four to six meetings, and Audit Committee expanded scope to include public policy expenditures and treasury matters.",COMPLIANCE,"ESG oversight remains minimal with only basic sustainability website reference. The addition of 'public policy expenditures' to Audit Committee scope suggests increased attention to political spending oversight, though no substantive ESG integration is evident in governance structure.",0.8805,llm,0,0,0,0,0,0,1,0,0,0,1,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2019,1018724,0001193125-19-102995,2019-04-11,https://www.sec.gov/Archives/edgar/data/1018724/000119312519102995/d667736ddef14a.htm,OK,,448215,32876,547,True,0,4,0,7.31,2030,,False,BOARD_DIVERSITY|ESG_OVERSIGHT|WORKFORCE_DEI,,LOW,True,HIGH,"Amazon significantly expanded ESG disclosure references, adding dedicated diversity website and question bank resources while adding two female directors (Brewer and Nooyi) to board committees.",COMPLIANCE,"Notable expansion from basic sustainability website reference to comprehensive ESG web presence including diversity-specific resources. Board diversification through female director additions to key committees signals governance evolution, though disclosure remains high-level without quantitative metrics or specific commitments.",0.8186,llm,0,0,0,1,1,0,1,0,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2020,1018724,0001193125-20-108422,2020-04-16,https://www.sec.gov/Archives/edgar/data/1018724/000119312520108422/d897711ddef14a.htm,OK,,874916,40523,1200,True,14,1,0,12.5,2040,42.0,True,CLIMATE_OPPORTUNITY|EMISSIONS_TARGETS|HUMAN_CAPITAL|STAKEHOLDER_ENGAGEMENT|WORKFORCE_DEI,Running on 100% renewable energy by 2030,MEDIUM,True,HIGH,"Significant expansion from minimal ESG disclosure in 2019 to comprehensive sustainability reporting with specific climate targets, community programs, and workforce initiatives in 2020.",ASPIRATIONAL,"Amazon dramatically expanded ESG disclosure quality between 2019-2020, introducing quantified climate commitments including 100% renewable energy by 2030 and specific investment amounts ($100M nature-based solutions, $700M upskilling). The company emphasizes operational ESG benefits like carbon reduction from delivery optimization, though board diversity and executive compensation ESG linkage remain absent from disclosure.",0.2691,llm,0,1,1,0,1,1,0,1,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2021,1018724,0001104659-21-050333,2021-04-15,https://www.sec.gov/Archives/edgar/data/1018724/000110465921050333/tm2035374-1_def14a.htm,OK,,1224174,49174,1198,True,20,5,0,20.87,2040,,True,EMISSIONS_TARGETS|HUMAN_CAPITAL|STAKEHOLDER_ENGAGEMENT|WORKFORCE_DEI,net-zero carbon by 2040,HIGH,True,HIGH,Amazon accelerated renewable energy target from 2030 to 2025 and expanded quantitative DEI metrics including doubling Black directors/VPs in 2020 and 2021.,ASPIRATIONAL,"Amazon demonstrates strong quantitative disclosure with specific DEI metrics (doubling Black leadership, 90,000+ affinity group members) and accelerated climate commitments. The company positions itself as a climate leader through The Climate Pledge coalition with 50+ signatories, suggesting stakeholder engagement strategy beyond compliance.",0.5075,llm,0,0,1,0,1,1,0,1,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2022,1018724,0001104659-22-045572,2022-04-14,https://www.sec.gov/Archives/edgar/data/1018724/000110465922045572/tm223357-5_def14a.htm,OK,,1609431,70800,1208,True,5,4,0,7.45,2040,,True,EMISSIONS_TARGETS|HUMAN_CAPITAL|STAKEHOLDER_ENGAGEMENT|SUPPLY_CHAIN|WORKFORCE_DEI,net-zero carbon by 2040,MEDIUM,True,HIGH,"Significant expansion of workforce programs and financial commitments, with upskilling budget increasing from $700M to $1.2B and parental leave expanding to 20 weeks.",ASPIRATIONAL,"Amazon has substantially increased its workforce investment scale while maintaining focus on diversity partnerships. The climate commitment remains consistent at 2040 net-zero target, but renewable energy timeline accelerated to 2025. Notable absence of specific diversity metrics despite expanded program descriptions suggests opportunity for enhanced quantitative disclosure.",0.5821,llm,0,0,1,0,1,1,0,1,0,1,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2023,1018724,0001104659-23-044708,2023-04-13,https://www.sec.gov/Archives/edgar/data/1018724/000110465923044708/tm233694d2_def14a.htm,OK,,1856831,78899,1196,True,0,7,0,5.85,2040,,False,BOARD_DIVERSITY|ESG_OVERSIGHT|HUMAN_CAPITAL|STAKEHOLDER_ENGAGEMENT|WORKFORCE_DEI,,MEDIUM,True,HIGH,"2023 text removed specific employment growth metrics (750K jobs created) and detailed safety investment figures ($300M, $15B COVID costs) while maintaining programmatic descriptions.",COMPLIANCE,"Amazon maintains strong governance framework with board diversity metrics (5 women, 2 underrepresented racial/ethnic directors) but notably lacks any climate commitments despite environmental oversight claims. The removal of quantitative workforce and safety investment metrics from prior year suggests potential strategic shift away from specific disclosures.",0.5376,llm,0,0,0,1,1,1,1,1,0,0,0,0
AMZN,Amazon.com Inc.,Consumer Discretionary,2024,1018724,0001104659-24-045910,2024-04-11,https://www.sec.gov/Archives/edgar/data/1018724/000110465924045910/tm2329302d4_def14a.htm,OK,,1927164,70050,390,True,0,1,0,2.56,2040,,False,BOARD_DIVERSITY|ESG_OVERSIGHT|EXEC_COMP_LINKAGE|STAKEHOLDER_ENGAGEMENT,,LOW,True,HIGH,"Removed specific board diversity metrics (five women, two underrepresented racial/ethnic directors) and eliminated Global Impact Highlights section with customer-focused initiatives.",COMPLIANCE,Amazon notably stripped specific diversity metrics from governance highlights while maintaining general ESG oversight language. The removal of the Global Impact section and quantified board composition suggests a shift toward minimal ESG disclosure compliance rather than voluntary transparency.,0.2879,llm,0,0,0,1,0,0,1,1,1,0,0,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2016,1075531,0001308179-16-000383,2016-04-28,https://www.sec.gov/Archives/edgar/data/1075531/000130817916000383/pcln001pxy2016.htm,OK,,1140944,38968,0,False,0,92,0,2.36,,25.0,False,,,LOW,,,No prior year available,FORMAL,"The 2016 proxy statement contains virtually no ESG content, focusing primarily on business performance and leadership transitions. This represents a missed opportunity for stakeholder engagement on ESG topics, particularly given the company's global footprint and travel industry positioning.",,llm,0,0,0,0,0,0,0,0,0,0,0,0
